Knot,Grid ID,tb,r,Parents
8a1,T1408,-9,-2,S1131
8a1,T1409,-9,0,"S1131, S1132"
8a1,T1410,-9,2,S1132
m8a1,T2846,-5,-2,S2261
m8a1,T2847,-5,0,"S2262, S2261"
m8a1,T2848,-5,2,S2262
8a2,T1521,-13,-6,S1232
8a2,T1520,-13,-4,"S1232, S1231"
8a2,T1519,-13,-2,"S1230, S1231"
8a2,T1522,-13,0,"S1233, S1230"
8a2,T1523,-13,2,"S1234, S1233"
8a2,T1524,-13,4,"S1234, S1235"
8a2,T1525,-13,6,S1235
m8a2,T2914,-1,-2,S2323
m8a2,T2915,-1,0,"S2323, S2324"
m8a2,T2916,-1,2,S2324
8a3,T1526,-7,-2,S1236
8a3,T1527,-7,0,"S1236, S1237"
8a3,T1528,-7,2,S1237
8a4,T1529,-5,-2,S1238
8a4,T1530,-5,0,"S1239, S1238"
8a4,T1531,-5,2,S1239
m8a4,T2918,-9,-4,S2327
m8a4,T2919,-9,-4,S2326
m8a4,T2917,-9,-2,"S2327, S2326, S2325"
m8a4,T2920,-9,0,"S2328, S2325"
m8a4,T2921,-9,2,"S2329, S2328, S2330"
m8a4,T2922,-9,4,S2330
m8a4,T2923,-9,4,S2329
8a5,T1534,-13,-6,S1242
8a5,T1533,-13,-4,"S1241, S1242"
8a5,T1532,-13,-2,"S1241, S1240"
8a5,T1535,-13,0,"S1243, S1240"
8a5,T1536,-13,2,"S1244, S1243"
8a5,T1537,-13,4,"S1244, S1245"
8a5,T1538,-13,6,S1245
m8a5,T2924,-1,-2,S2331
m8a5,T2925,-1,0,"S2332, S2331"
m8a5,T2926,-1,2,S2332
8a6,T1540,-11,-4,S1247
8a6,T1541,-11,-4,S1248
8a6,T1539,-11,-2,"S1246, S1248, S1247"
8a6,T1542,-11,0,"S1249, S1246"
8a6,T1543,-11,2,"S1249, S1251, S1250"
8a6,T1544,-11,4,S1251
8a6,T1545,-11,4,S1250
m8a6,T2927,-3,-2,S2333
m8a6,T2928,-3,-2,S2334
m8a6,T2929,-3,0,"S2335, S2333"
m8a6,T2930,-3,0,"S2336, S2334"
m8a6,T2931,-3,2,S2335
m8a6,T2932,-3,2,S2336
8a7,T1547,-4,-3,S1253
8a7,T1548,-4,-3,S1252
8a7,T1546,-4,-1,"S1253, S1252, S1254"
8a7,T1549,-4,1,"S1255, S1254, S1256"
8a7,T1550,-4,3,S1255
8a7,T1551,-4,3,S1256
m8a7,T2937,-10,-5,S2339
m8a7,T2938,-10,-5,S2340
m8a7,T2935,-10,-3,"S2340, S2337, S2339"
m8a7,T2936,-10,-3,S2338
m8a7,T2933,-10,-1,"S2341, S2338"
m8a7,T2934,-10,-1,"S2337, S2342"
m8a7,T2939,-10,1,"S2341, S2347"
m8a7,T2940,-10,1,"S2346, S2342"
m8a7,T2941,-10,3,"S2349, S2348, S2346"
m8a7,T2942,-10,3,S2347
m8a7,T2943,-10,5,S2348
m8a7,T2944,-10,5,S2349
8a8,T1555,-6,-3,S1259
8a8,T1556,-6,-3,S1261
8a8,T1557,-6,-3,S1258
8a8,T1558,-6,-3,S1257
8a8,T1559,-6,-3,S1260
8a8,T1552,-6,-1,"S1259, S1261, S1265"
8a8,T1553,-6,-1,"S1264, S1257"
8a8,T1554,-6,-1,"S1258, S1260, S1267"
8a8,T1560,-6,1,"S1264, S1272"
8a8,T1561,-6,1,"S1271, S1265, S1268"
8a8,T1562,-6,1,"S1269, S1267, S1270"
8a8,T1563,-6,3,S1268
8a8,T1564,-6,3,S1271
8a8,T1565,-6,3,S1270
8a8,T1566,-6,3,S1272
8a8,T1567,-6,3,S1269
m8a8,T2946,-8,-3,S2352
m8a8,T2947,-8,-3,S2351
m8a8,T2948,-8,-3,S2350
m8a8,T2945,-8,-1,"S2352, S2354, S2351, S2350"
m8a8,T2949,-8,1,"S2356, S2357, S2354, S2358"
m8a8,T2950,-8,3,S2358
m8a8,T2951,-8,3,S2356
m8a8,T2952,-8,3,S2357
8a9,T1570,-7,-4,S1276
8a9,T1568,-7,-2,S1274
8a9,T1569,-7,-2,"S1275, S1276"
8a9,T1571,-7,0,"S1275, S1279"
8a9,T1572,-7,0,"S1274, S1278"
8a9,T1573,-7,2,"S1280, S1279"
8a9,T1574,-7,2,S1278
8a9,T1575,-7,4,S1280
8a10,T1413,-4,-3,S1135
8a10,T1414,-4,-3,S1134
8a10,T1415,-4,-3,S1133
8a10,T1411,-4,-1,"S1137, S1134"
8a10,T1412,-4,-1,"S1133, S1136, S1135"
8a10,T1416,-4,1,"S1136, S1139, S1138"
8a10,T1417,-4,1,"S1137, S1140"
8a10,T1418,-4,3,S1139
8a10,T1419,-4,3,S1140
8a10,T1420,-4,3,S1138
m8a10,T2857,-10,-5,S2268
m8a10,T2853,-10,-3,"S2268, S2266"
m8a10,T2854,-10,-3,S2264
m8a10,T2855,-10,-3,S2265
m8a10,T2856,-10,-3,S2267
m8a10,T2849,-10,-1,"S2271, S2264"
m8a10,T2850,-10,-1,S2266
m8a10,T2851,-10,-1,"S2265, S2269"
m8a10,T2852,-10,-1,"S2267, S2270"
m8a10,T2858,-10,1,"S2275, S2269"
m8a10,T2859,-10,1,S2273
m8a10,T2860,-10,1,"S2274, S2270"
m8a10,T2861,-10,1,"S2272, S2271"
m8a10,T2862,-10,3,S2275
m8a10,T2863,-10,3,S2272
m8a10,T2864,-10,3,"S2273, S2276"
m8a10,T2865,-10,3,S2274
m8a10,T2866,-10,5,S2276
8a11,T1425,-11,-4,S1146
8a11,T1426,-11,-4,S1145
8a11,T1421,-11,-2,S1143
8a11,T1422,-11,-2,"S1144, S1145"
8a11,T1423,-11,-2,S1142
8a11,T1424,-11,-2,"S1141, S1146"
8a11,T1427,-11,0,S1144
8a11,T1428,-11,0,S1141
8a11,T1429,-11,0,"S1142, S1147"
8a11,T1430,-11,0,"S1143, S1148"
8a11,T1431,-11,0,S1149
8a11,T1432,-11,0,S1150
8a11,T1433,-11,2,S1147
8a11,T1434,-11,2,"S1149, S1151"
8a11,T1435,-11,2,S1148
8a11,T1436,-11,2,"S1150, S1152"
8a11,T1437,-11,4,S1152
8a11,T1438,-11,4,S1151
m8a11,T2867,-3,-2,S2277
m8a11,T2868,-3,-2,S2278
m8a11,T2869,-3,0,"S2278, S2279, S2280, S2277"
m8a11,T2870,-3,2,S2280
m8a11,T2871,-3,2,S2279
8a12,T1439,-7,-2,S1154
8a12,T1440,-7,-2,S1153
8a12,T1441,-7,0,"S1159, S1154"
8a12,T1442,-7,0,"S1153, S1158"
8a12,T1443,-7,2,S1159
8a12,T1444,-7,2,S1158
8a13,T1447,-6,-3,S1163
8a13,T1448,-6,-3,S1167
8a13,T1449,-6,-3,S1164
8a13,T1450,-6,-3,S1166
8a13,T1451,-6,-3,S1165
8a13,T1452,-6,-3,S1168
8a13,T1445,-6,-1,"S1170, S1168, S1165, S1167, S1163"
8a13,T1446,-6,-1,"S1166, S1164, S1171"
8a13,T1453,-6,1,"S1176, S1170, S1177, S1172, S1174"
8a13,T1454,-6,1,"S1173, S1175, S1171"
8a13,T1455,-6,3,S1172
8a13,T1456,-6,3,S1177
8a13,T1457,-6,3,S1173
8a13,T1458,-6,3,S1175
8a13,T1459,-6,3,S1174
8a13,T1460,-6,3,S1176
m8a13,T2874,-8,-3,S2281
m8a13,T2875,-8,-3,S2282
m8a13,T2872,-8,-1,"S2281, S2284"
m8a13,T2873,-8,-1,"S2283, S2282"
m8a13,T2876,-8,1,"S2284, S2285"
m8a13,T2877,-8,1,"S2283, S2286"
m8a13,T2878,-8,3,S2285
m8a13,T2879,-8,3,S2286
8a14,T1464,-11,-4,S1183
8a14,T1465,-11,-4,S1182
8a14,T1461,-11,-2,"S1182, S1178"
8a14,T1462,-11,-2,"S1183, S1180"
8a14,T1463,-11,-2,S1179
8a14,T1466,-11,0,"S1179, S1186"
8a14,T1467,-11,0,"S1180, S1185"
8a14,T1468,-11,0,"S1187, S1178"
8a14,T1469,-11,2,"S1189, S1185"
8a14,T1470,-11,2,"S1187, S1188"
8a14,T1471,-11,2,S1186
8a14,T1472,-11,4,S1188
8a14,T1473,-11,4,S1189
m8a14,T2880,-3,-2,S2288
m8a14,T2881,-3,-2,S2289
m8a14,T2882,-3,-2,S2291
m8a14,T2883,-3,0,"S2292, S2289"
m8a14,T2884,-3,0,"S2294, S2291"
m8a14,T2885,-3,0,"S2293, S2296, S2288"
m8a14,T2886,-3,2,S2296
m8a14,T2887,-3,2,S2292
m8a14,T2888,-3,2,S2294
m8a14,T2889,-3,2,S2293
8a15,T1477,-15,-4,S1196
8a15,T1478,-15,-4,S1195
8a15,T1475,-15,-2,S1196
8a15,T1476,-15,-2,"S1192, S1195"
8a15,T1479,-15,0,"S1200, S1192"
8a15,T1480,-15,0,"S1197, S1191"
8a15,T1482,-15,2,S1201
8a15,T1483,-15,2,"S1200, S1202"
8a15,T1484,-15,4,S1202
8a15,T1485,-15,4,S1201
m8a15,T2890,1,-2,S2300
m8a15,T2891,1,-2,S2299
m8a15,T2892,1,-2,S2298
m8a15,T2893,1,-2,S2297
m8a15,T2894,1,0,"S2304, S2298"
m8a15,T2895,1,0,"S2297, S2302, S2301, S2300, S2299, S2303"
m8a15,T2896,1,2,S2303
m8a15,T2897,1,2,S2304
m8a15,T2898,1,2,S2302
m8a15,T2899,1,2,S2301
8a16,T1488,-4,-3,S1204
8a16,T1489,-4,-3,S1205
8a16,T1486,-4,-1,"S1206, S1205"
8a16,T1487,-4,-1,"S1207, S1204"
8a16,T1490,-4,1,"S1206, S1208"
8a16,T1491,-4,1,"S1207, S1209"
8a16,T1492,-4,3,S1209
8a16,T1493,-4,3,S1208
m8a16,T2906,-10,-5,S2310
m8a16,T2903,-10,-3,S2306
m8a16,T2904,-10,-3,"S2310, S2305, S2308"
m8a16,T2900,-10,-1,"S2308, S2315"
m8a16,T2901,-10,-1,"S2314, S2305"
m8a16,T2902,-10,-1,"S2306, S2312"
m8a16,T2908,-10,1,"S2316, S2315"
m8a16,T2909,-10,1,"S2317, S2314"
m8a16,T2910,-10,1,"S2319, S2312"
m8a16,T2911,-10,3,"S2322, S2317, S2316"
m8a16,T2912,-10,3,S2319
m8a16,T2913,-10,5,S2322
8a17,T1498,-7,-4,S1215
8a17,T1499,-7,-4,S1216
8a17,T1500,-7,-4,S1217
8a17,T1501,-7,-4,S1214
8a17,T1494,-7,-2,"S1217, S1210"
8a17,T1495,-7,-2,"S1213, S1214"
8a17,T1496,-7,-2,"S1211, S1215"
8a17,T1497,-7,-2,"S1216, S1212"
8a17,T1502,-7,0,"S1219, S1212"
8a17,T1503,-7,0,"S1213, S1221"
8a17,T1504,-7,0,"S1210, S1218"
8a17,T1505,-7,0,"S1211, S1220"
8a17,T1506,-7,2,"S1222, S1218"
8a17,T1507,-7,2,"S1220, S1224"
8a17,T1508,-7,2,"S1221, S1223"
8a17,T1509,-7,2,"S1225, S1219"
8a17,T1510,-7,4,S1225
8a17,T1511,-7,4,S1222
8a17,T1512,-7,4,S1223
8a17,T1513,-7,4,S1224
8a18,T1515,-7,-4,S1227
8a18,T1514,-7,-2,"S1227, S1226"
8a18,T1516,-7,0,"S1228, S1226"
8a18,T1517,-7,2,"S1228, S1229"
8a18,T1518,-7,4,S1229
10n2,T55,-6,-3,S64
10n2,T54,-6,-1,"S64, S65"
10n2,T56,-6,1,"S65, S66"
10n2,T57,-6,3,S66
m10n2,T1643,-8,-5,S1330
m10n2,T1642,-8,-3,"S1330, S1329"
m10n2,T1641,-8,-1,"S1331, S1329"
m10n2,T1644,-8,1,"S1332, S1331"
m10n2,T1645,-8,3,"S1332, S1333"
m10n2,T1646,-8,5,S1333
10n3,T184,-2,-3,S179
10n3,T183,-2,-1,"S180, S179"
10n3,T185,-2,1,"S180, S181"
10n3,T186,-2,3,S181
m10n3,T1744,-12,-5,S1420
m10n3,T1743,-12,-3,"S1419, S1420"
m10n3,T1742,-12,-1,"S1419, S1421"
m10n3,T1745,-12,1,"S1422, S1421"
m10n3,T1746,-12,3,"S1423, S1422"
m10n3,T1747,-12,5,S1423
10n4,T250,-15,-6,S235
10n4,T251,-15,-6,S236
10n4,T249,-15,-4,"S234, S235, S236"
10n4,T248,-15,-2,"S234, S233"
10n4,T252,-15,0,"S237, S233"
10n4,T253,-15,2,"S237, S238"
10n4,T254,-15,4,"S239, S238, S240"
10n4,T255,-15,6,S239
10n4,T256,-15,6,S240
m10n4,T1808,1,-2,S1471
m10n4,T1809,1,-2,S1472
m10n4,T1810,1,0,"S1473, S1471"
m10n4,T1811,1,0,"S1472, S1474"
m10n4,T1812,1,2,S1473
m10n4,T1813,1,2,S1474
10n6,T285,-8,-3,S263
10n6,T286,-8,-3,S264
10n6,T284,-8,-1,"S264, S263, S268"
10n6,T287,-8,1,"S272, S273, S268"
10n6,T288,-8,3,S272
10n6,T289,-8,3,S273
m10n6,T1848,-6,-3,S1504
m10n6,T1847,-6,-1,"S1505, S1504"
m10n6,T1849,-6,1,"S1505, S1506"
m10n6,T1850,-6,3,S1506
10n7,T291,-4,-3,S274
10n7,T292,-4,-3,S275
10n7,T290,-4,-1,"S275, S274, S277"
10n7,T293,-4,1,"S278, S279, S277"
10n7,T294,-4,3,S279
10n7,T295,-4,3,S278
m10n7,T1852,-10,-3,S1507
m10n7,T1851,-10,-1,"S1508, S1507"
m10n7,T1853,-10,1,"S1508, S1509"
m10n7,T1854,-10,3,S1509
10n8,T297,-13,-4,S282
10n8,T298,-13,-4,S281
10n8,T296,-13,-2,"S282, S280, S281"
10n8,T299,-13,0,"S283, S280"
10n8,T300,-13,2,"S284, S283, S285"
10n8,T301,-13,4,S284
10n8,T302,-13,4,S285
m10n8,T1856,-1,-2,S1515
m10n8,T1857,-1,-2,S1512
m10n8,T1858,-1,-2,S1513
m10n8,T1859,-1,-2,S1510
m10n8,T1860,-1,-2,S1511
m10n8,T1861,-1,0,"S1518, S1520, S1510, S1511, S1519, S1515, S1513, S1516, S1512, S1517"
m10n8,T1862,-1,2,S1519
m10n8,T1863,-1,2,S1518
m10n8,T1864,-1,2,S1516
m10n8,T1865,-1,2,S1517
m10n8,T1866,-1,2,S1520
10n10,T3,-13,-4,S8
10n10,T4,-13,-4,S10
10n10,T5,-13,-4,S9
10n10,T1,-13,-2,S2
10n10,T2,-13,-2,"S9, S5, S10, S8"
10n10,T6,-13,0,S5
10n10,T7,-13,0,S16
10n10,T8,-13,0,"S2, S14"
10n10,T10,-13,2,S14
10n10,T9,-13,2,S20
10n10,T12,-13,4,S18
10n10,T13,-13,4,S20
10n10,T14,-13,4,S19
m10n10,T1576,-1,-2,S1281
m10n10,T1577,-1,-2,S1284
m10n10,T1578,-1,-2,S1285
m10n10,T1579,-1,-2,S1282
m10n10,T1580,-1,-2,S1283
m10n10,T1581,-1,0,"S1285, S1288"
m10n10,T1582,-1,0,"S1281, S1287"
m10n10,T1583,-1,0,"S1290, S1284"
m10n10,T1584,-1,0,"S1286, S1283"
m10n10,T1585,-1,0,"S1289, S1282"
m10n10,T1586,-1,2,S1289
m10n10,T1587,-1,2,S1288
m10n10,T1588,-1,2,S1287
m10n10,T1589,-1,2,S1290
m10n10,T1590,-1,2,S1286
10n11,T16,-17,-4,S22
10n11,T15,-17,-2,"S21, S22"
10n11,T17,-17,0,"S21, S23"
10n11,T18,-17,2,"S23, S24"
10n11,T19,-17,4,S24
m10n11,T1591,3,-2,S1295
m10n11,T1592,3,-2,S1292
m10n11,T1593,3,-2,S1291
m10n11,T1594,3,-2,S1293
m10n11,T1595,3,-2,S1294
m10n11,T1596,3,0,"S1300, S1291"
m10n11,T1597,3,0,"S1297, S1292"
m10n11,T1598,3,0,"S1294, S1299"
m10n11,T1599,3,0,"S1296, S1293"
m10n11,T1600,3,0,"S1298, S1295"
m10n11,T1601,3,2,S1297
m10n11,T1602,3,2,S1298
m10n11,T1603,3,2,S1296
m10n11,T1604,3,2,S1299
m10n11,T1605,3,2,S1300
10n12,T23,-8,-3,S29
10n12,T24,-8,-3,S25
10n12,T26,-8,-3,S26
10n12,T27,-8,-3,S28
10n12,T20,-8,-1,"S29, S30, S25, S33, S26"
10n12,T21,-8,-1,"S28, S32"
10n12,T28,-8,1,"S40, S32"
10n12,T29,-8,1,"S37, S39, S30, S33, S36"
10n12,T30,-8,3,S37
10n12,T31,-8,3,S39
10n12,T32,-8,3,S40
10n12,T33,-8,3,S36
m10n12,T1608,-6,-3,S1301
m10n12,T1609,-6,-3,S1302
m10n12,T1610,-6,-3,S1303
m10n12,T1611,-6,-3,S1304
m10n12,T1606,-6,-1,"S1304, S1303, S1306"
m10n12,T1607,-6,-1,"S1308, S1302, S1301"
m10n12,T1612,-6,1,"S1308, S1309, S1310"
m10n12,T1613,-6,1,"S1312, S1311, S1306"
m10n12,T1614,-6,3,S1311
m10n12,T1615,-6,3,S1312
m10n12,T1616,-6,3,S1309
m10n12,T1617,-6,3,S1310
10n14,T34,-9,-2,S43
10n14,T35,-9,-2,S46
10n14,T36,-9,0,"S46, S49"
10n14,T37,-9,0,"S43, S48"
10n14,T38,-9,2,S49
10n14,T39,-9,2,S48
m10n14,T1618,-5,-2,S1315
m10n14,T1619,-5,-2,S1314
m10n14,T1620,-5,-2,S1313
m10n14,T1621,-5,-2,S1316
m10n14,T1622,-5,0,"S1315, S1320"
m10n14,T1623,-5,0,"S1313, S1319"
m10n14,T1624,-5,0,"S1316, S1318"
m10n14,T1625,-5,0,"S1314, S1317"
m10n14,T1626,-5,2,S1317
m10n14,T1627,-5,2,S1318
m10n14,T1628,-5,2,S1319
m10n14,T1629,-5,2,S1320
10n15,T40,-9,-2,S55
10n15,T41,-9,-2,S54
10n15,T42,-9,-2,S56
10n15,T43,-9,0,"S57, S55"
10n15,T44,-9,0,"S59, S56"
10n15,T45,-9,0,"S58, S54"
10n15,T46,-9,2,S58
10n15,T47,-9,2,S59
10n15,T48,-9,2,S57
m10n15,T1630,-5,-2,S1321
m10n15,T1631,-5,-2,S1322
m10n15,T1632,-5,0,"S1323, S1321"
m10n15,T1633,-5,0,"S1322, S1324"
m10n15,T1634,-5,2,S1324
m10n15,T1635,-5,2,S1323
10n18,T50,-9,-4,S61
10n18,T49,-9,-2,"S60, S61"
10n18,T51,-9,0,"S62, S60"
10n18,T52,-9,2,"S63, S62"
10n18,T53,-9,4,S63
m10n18,T1637,-5,-4,S1326
m10n18,T1636,-5,-2,"S1326, S1325"
m10n18,T1638,-5,0,"S1327, S1325"
m10n18,T1639,-5,2,"S1327, S1328"
m10n18,T1640,-5,4,S1328
10n20,T60,-2,-3,S68
10n20,T61,-2,-3,S67
10n20,T58,-2,-1,"S67, S69"
10n20,T59,-2,-1,"S70, S68"
10n20,T62,-2,1,"S71, S69"
10n20,T63,-2,1,"S70, S72"
10n20,T64,-2,3,S71
10n20,T65,-2,3,S72
m10n20,T1651,-12,-5,S1340
m10n20,T1652,-12,-5,S1339
m10n20,T1649,-12,-3,"S1338, S1340"
m10n20,T1650,-12,-3,"S1339, S1334"
m10n20,T1647,-12,-1,"S1341, S1334"
m10n20,T1648,-12,-1,"S1338, S1342"
m10n20,T1653,-12,1,"S1341, S1347"
m10n20,T1654,-12,1,"S1346, S1342"
m10n20,T1655,-12,3,"S1346, S1349"
m10n20,T1656,-12,3,"S1348, S1347"
m10n20,T1657,-12,5,S1349
m10n20,T1658,-12,5,S1348
10n21,T67,-11,-4,S74
10n21,T68,-11,-4,S75
10n21,T66,-11,-2,"S74, S73, S75"
10n21,T69,-11,0,"S76, S73"
10n21,T70,-11,2,"S78, S76, S77"
10n21,T71,-11,4,S78
10n21,T72,-11,4,S77
m10n21,T1659,-3,-2,S1350
m10n21,T1660,-3,0,"S1351, S1350"
m10n21,T1661,-3,2,S1351
10n23,T74,-6,-3,S79
10n23,T73,-6,-1,"S80, S79"
10n23,T75,-6,1,"S80, S81"
10n23,T76,-6,3,S81
m10n23,T1663,-8,-3,S1357
m10n23,T1664,-8,-3,S1356
m10n23,T1665,-8,-3,S1352
m10n23,T1666,-8,-3,S1355
m10n23,T1667,-8,-3,S1353
m10n23,T1668,-8,-3,S1354
m10n23,T1669,-8,-3,S1358
m10n23,T1662,-8,-1,"S1354, S1353, S1358, S1356, S1355, S1359, S1352, S1357"
m10n23,T1670,-8,1,"S1364, S1365, S1366, S1359, S1361, S1363, S1360, S1362"
m10n23,T1671,-8,3,S1364
m10n23,T1672,-8,3,S1365
m10n23,T1673,-8,3,S1361
m10n23,T1674,-8,3,S1362
m10n23,T1675,-8,3,S1360
m10n23,T1676,-8,3,S1363
m10n23,T1677,-8,3,S1366
10n24,T79,-9,-4,S84
10n24,T80,-9,-4,S85
10n24,T77,-9,-2,"S83, S84"
10n24,T78,-9,-2,"S85, S82"
10n24,T81,-9,0,"S83, S87"
10n24,T82,-9,0,"S82, S86"
10n24,T83,-9,2,"S88, S87"
10n24,T84,-9,2,"S86, S89"
10n24,T85,-9,4,S88
10n24,T86,-9,4,S89
m10n24,T1678,-5,-2,S1372
m10n24,T1679,-5,-2,S1369
m10n24,T1681,-5,-2,S1371
m10n24,T1682,-5,-2,S1368
m10n24,T1683,-5,0,"S1368, S1373, S1369, S1375"
m10n24,T1684,-5,0,"S1376, S1374, S1371, S1372"
m10n24,T1685,-5,2,S1374
m10n24,T1686,-5,2,S1376
m10n24,T1687,-5,2,S1373
m10n24,T1688,-5,2,S1375
10n25,T91,-2,-3,S93
10n25,T92,-2,-3,S90
10n25,T93,-2,-3,S92
10n25,T94,-2,-3,S91
10n25,T87,-2,-1,"S95, S90"
10n25,T88,-2,-1,"S97, S92"
10n25,T89,-2,-1,"S94, S91"
10n25,T90,-2,-1,"S93, S96"
10n25,T95,-2,1,"S98, S94"
10n25,T96,-2,1,"S101, S96"
10n25,T97,-2,1,"S97, S100"
10n25,T98,-2,1,"S95, S99"
10n25,T100,-2,3,S98
10n25,T101,-2,3,S101
10n25,T102,-2,3,S100
10n25,T99,-2,3,S99
m10n25,T1697,-12,-5,S1381
m10n25,T1698,-12,-5,S1382
m10n25,T1693,-12,-3,"S1381, S1378"
m10n25,T1694,-12,-3,"S1382, S1380"
m10n25,T1695,-12,-3,S1377
m10n25,T1696,-12,-3,S1379
m10n25,T1689,-12,-1,"S1377, S1388"
m10n25,T1690,-12,-1,"S1379, S1383"
m10n25,T1691,-12,-1,"S1387, S1378"
m10n25,T1692,-12,-1,"S1385, S1380"
m10n25,T1699,-12,1,"S1390, S1385"
m10n25,T1700,-12,1,"S1383, S1392"
m10n25,T1701,-12,1,"S1387, S1389"
m10n25,T1702,-12,1,"S1391, S1388"
m10n25,T1703,-12,3,"S1394, S1389"
m10n25,T1704,-12,3,"S1390, S1393"
m10n25,T1705,-12,3,S1391
m10n25,T1706,-12,3,S1392
m10n25,T1707,-12,5,S1394
m10n25,T1708,-12,5,S1393
10n26,T107,-15,-6,S106
10n26,T108,-15,-6,S107
10n26,T105,-15,-4,"S104, S106"
10n26,T106,-15,-4,"S105, S107"
10n26,T103,-15,-2,"S103, S104"
10n26,T104,-15,-2,"S102, S105"
10n26,T109,-15,0,"S103, S109"
10n26,T110,-15,0,"S102, S108"
10n26,T111,-15,2,"S111, S108"
10n26,T112,-15,2,"S110, S109"
10n26,T113,-15,4,"S112, S111"
10n26,T114,-15,4,"S113, S110"
10n26,T115,-15,6,S113
10n26,T116,-15,6,S112
m10n26,T1709,1,-2,S1395
m10n26,T1710,1,-2,S1396
m10n26,T1711,1,0,"S1396, S1397"
m10n26,T1712,1,0,"S1398, S1395"
m10n26,T1713,1,2,S1397
m10n26,T1714,1,2,S1398
10n27,T127,-13,-4,S122
10n27,T128,-13,-4,S123
10n27,T117,-13,-2,"S122, S119, S121, S117"
10n27,T121,-13,-2,"S120, S123, S115, S114"
10n27,T129,-13,0,"S128, S115"
10n27,T130,-13,0,"S135, S120"
10n27,T131,-13,0,"S114, S130"
10n27,T132,-13,0,"S131, S119"
10n27,T133,-13,0,"S134, S121"
10n27,T134,-13,0,"S117, S132"
10n27,T136,-13,2,"S136, S134, S131, S132"
10n27,T138,-13,2,"S138, S128, S130, S135"
10n27,T141,-13,4,S138
10n27,T143,-13,4,S136
m10n27,T1715,-1,-2,S1399
m10n27,T1716,-1,-2,S1401
m10n27,T1717,-1,-2,S1404
m10n27,T1718,-1,-2,S1403
m10n27,T1719,-1,-2,S1402
m10n27,T1720,-1,-2,S1400
m10n27,T1721,-1,0,"S1406, S1399, S1401, S1408"
m10n27,T1722,-1,0,"S1405, S1404"
m10n27,T1723,-1,0,"S1409, S1403"
m10n27,T1724,-1,0,"S1410, S1407, S1402, S1400"
m10n27,T1725,-1,2,S1405
m10n27,T1726,-1,2,S1409
m10n27,T1727,-1,2,S1410
m10n27,T1728,-1,2,S1407
m10n27,T1729,-1,2,S1406
m10n27,T1730,-1,2,S1408
10n28,T149,-4,-3,S144
10n28,T150,-4,-3,S152
10n28,T151,-4,-3,S145
10n28,T152,-4,-3,S150
10n28,T153,-4,-3,S149
10n28,T154,-4,-3,S146
10n28,T155,-4,-3,S142
10n28,T156,-4,-3,S148
10n28,T157,-4,-3,S147
10n28,T158,-4,-3,S151
10n28,T159,-4,-3,S143
10n28,T144,-4,-1,"S161, S151, S143, S142"
10n28,T145,-4,-1,"S145, S157, S150"
10n28,T146,-4,-1,"S152, S147, S155"
10n28,T147,-4,-1,"S146, S144, S148, S159"
10n28,T148,-4,-1,"S158, S149"
10n28,T160,-4,1,"S161, S167, S169, S166"
10n28,T161,-4,1,"S171, S163, S157"
10n28,T162,-4,1,"S172, S158"
10n28,T163,-4,1,"S162, S165, S159, S170"
10n28,T164,-4,1,"S168, S155, S164"
